Genes of transcription unit,Transcription Factors
spy,BaeR   CpxR
ycaC,FNR   BaeR 
qseC  qseB,BasR   QseB 
yecR,FlhDC   FNR 
flhE  flhA  flhB,FlhDC 
fliE,CsgD   FlhDC 
fliK  fliJ  fliI  fliH  fliG  fliF,CsgD   FlhDC 
sroC  gltL  gltK  gltJ  gltI,FlhDC 
ytfE,NarP   NarL   FNR   NsrR 
ygbA,NsrRnitric oxide  NsrR   FNR 
astE  astB  astD  astA  astC,NtrC   ArgRLarginine 
nrdH  nrdI  nrdF  nrdE,IscR   NrdRZnsup2sup   FurFesup2sup 
cpxP,CpxR
dsbA  rdoA,CpxR
dmsC  dmsB  dmsA,ModEMoOsub4subsup2sup   IHF 
moaE  moaD  moaC  moaB  moaA,ModEMoOsub4subsup2sup 
ptsG,SoxS   Mlc   ArcA   CRPcAMP   Fis 
ptsG,Mlc   Fis 
grcA,FurFesup2sup   Fis   PdhR   FNR   ArcA   CRPcAMP 
rrfA  rrlA  alaT  ileT  rrsA,LrpLeucine   Fis 
rrfB  rrlB  gltT  rrsB,HNS   LrpLeucine   Fis 
rrfC  rrlC  gltU  rrsC,HNS   LrpLeucine   Fis 
rrfE  rrlE  gltV  rrsE,LrpLeucine   Fis 
rrfG  rrlG  gltW  rrsG,HNS   LrpLeucine   Fis 
rrfH  rrlH  alaV  ileV  rrsH,HNS   LrpLeucine   Fis 
rrfF  thrV  rrfD  rrlD  alaU  ileU  rrsD,HNS   LrpLeucine   Fis 
uspB,IHF 
gdhA,ArgP   FurFesup2sup   FNR  Nac   CRPcAMP 
sgrR  sroA  tbpA  thiP  thiQ,SgrR 
sgrT  setA  sgrS,Cra   SgrR 
leuO,HNS   LeuO 
cra,PhoB 
uof  fur,OxyR   SoxS 
ppdD  hofB  hofC,CRPcAMP 
nadC,CRPcAMP 
uof  fur  fldA,SoxS 
fur,FurFesup2sup   CRPcAMP 
yaeP  rof,CRPcAMP 
nlpE  arfB  yaeQ,CRPcAMP 
dkgB,NsrRnitric oxide
dinJ  yafQ,DinJ  YafQ  LexA 
yafP  yafO  yafN  dinB,LexA 
yafP  yafO  yafN,LexA 
crl,FurFesup2sup 
yagK,RcdA  
ecpA,MatA 
ecpR,MatA 
ykgM  ykgO,ZurZnsup2sup 
rclC  rclB  rclA,RclR 
pdeL,Cra 
mhpT,NsrRnitric oxide
iraP,CsgD 
ykiA,RcsBBglJ 
sbcD  sbcC,PhoB 
fadM,FadR 
ybaO,MarA 
tomB  hha,BasR   PdhR   CpxR
hemH,OxyR 
ybdN,CysBOacetylLserine   FNR   ArcA 
dsbG,OxyR 
citC  citD  citE  citF  citX  citG,ArcA   DpiAPsupaspsup 
dpiA  dpiB,FNR   CRPcAMP   NarL   ArcA   DpiAPsupaspsup 
cspE,CRPcAMP 
ybfN  chiP,CRPcAMP   NagC 
pnuC  nadA,NadR  and NMN adenylyltransferase
acrZ,Rob   SoxS   MarA 
ybhL,YjjQ 
mcbA,McbR 
ybjJ  ybjI,RcdA  
rybB,NsrR 
lysO,ArgRarg
rarA  lolA,RcsBPSUPasp56SUP
yccT,CsgD 
yccA,CpxR
gfcA,YjjQ 
wrbA  yccJ,CsgD 
efeU2  efeU1,CpxR
ycdZ,CytR   CRPcAMP 
dinI,NagC   LexA 
ldtC,CpxR
iraM,PhoP   FNR   ArcA 
yciE  yciF  yciG,McbR   HNS 
yciX  ymiA,YjjQ 
yciW,CysBOacetylLserine 
puuP  puuA,PuuR   FNR   ArcA 
puuE  puuB  puuC  puuR  puuD,CRPcAMP   PuuR   ArcA 
ycjY,PgrR 
uspE,GadX 
hslJ,CysBOacetylLserine 
ydbD,NsrRnitric oxide
ynbD  ynbC  ynbB  ynbA,RcsBBglJ 
sutR,SutR 
mcbR,YgiV 
lsrK  lsrR,CRPcAMP   LsrR 
yneM,PhoP 
dgcZ,CysBOacetylLserine   CpxR
ydfH,PhoB 
ydfZ,FNR 
dicC  ydfX  ydfW,DicA 
dicA,DicA 
