thrL ECK0001 JW4367 ,F,N/A,190,255,F
thrA ECK0002 Hs JW0001 thrA1 thrA2 thrD ,F,N/A,337,2799,F
thrB ECK0003 JW0002 ,F,N/A,2801,3733,F
thrC ECK0004 JW0003 ,F,N/A,3734,5020,F
yaaX ECK0005 JW0004 ,F,N/A,5234,5530,F
yaaA ECK0006 JW0005 ,F,N/A,5683,6459,R
yaaJ ECK0007 JW0006 ,F,N/A,6529,7959,R
talB ECK0008 JW0007 yaaK ,F,N/A,8238,9191,F
mog bisD chlG ECK000 JW0008 mogA yaaG ,F,N/A,9306,9893,F
satP ECK0010 JW000 yaaH ,F,N/A,9928,10494,R
yaaW ECK0011 JW0010 ,F,N/A,10643,11356,R
yaaI ECK0013 JW0012 ,F,N/A,11382,11786,R
dnaK ECK0014 groPAB groPC groPF grpC grpF,F,N/A,12163,14079,F
dnaJ ECK0015 faa groP grpC JW0014 ,F,N/A,14168,15298,F
insL1 ECK0016 ,F,N/A,15445,16557,F
mokC ECK4466 gefL ,T,N/A,16751,16960,R
hokC ECK0018 gef JW587 ,F,N/A,16751,16903,R
sokC ECK001 JWR0224 sof ,T,N/A,16952,17006,F
nhaA ant antA ECK0020 JW0018 ,F,N/A,17489,18655,F
nhaR antO ECK0021 JW001 yaaB ,T,Activator,18715,19620,F
insB1 ECK0022 ,F,N/A,19811,20314,R
insA ECK0023 ,T,Repressor,20233,20508,R
rpsT ECK0024 JW0022 sup ,F,N/A,20815,21078,R
yaaY ECK0025 JW5003 ,F,N/A,21181,21399,F
ribF ECK0026 JW0023 yaaC ,T,N/A,21407,22348,F
ileS ECK0027 ilvS JW0024 ,F,N/A,22391,25207,F
lspA ECK0028 JW0025 ,F,N/A,25207,25701,F
fkpB ECK002 JW0026 slpA yaaD ,F,N/A,25826,26275,F
ispH ECK0030 JW0027 lytB yaaE ,F,N/A,26277,27227,F
rihC ECK0031 JW0028 yaaF ,F,N/A,27293,28207,F
dapB ECK0032 JW002 ,F,N/A,28374,29195,F
carA arg cap ECK0033 JW0030 pyrA ,F,N/A,29651,30799,F
carB cap ECK0034 JW0031 pyrA ,F,N/A,30817,34038,F
caiF ECK0035 JW0033 ,T,Activator,34300,34695,F
caiE ECK0036 JW5004 ,F,N/A,34781,35371,R
caiD ECK0037 JW0035 yaaL ,F,N/A,35377,36162,R
caiC ECK0038 JW0036 yaaM ,F,N/A,36271,37824,R
caiB ECK003 JW0037 yaaN ,F,N/A,37898,39115,R
caiA ECK0040 JW0038 yaaO ,T,N/A,39244,40386,R
caiT ECK0041 JW003 yaaP ,F,N/A,40417,41931,R
fixA ECK0042 JW0040 yaaQ ,F,N/A,42403,43173,F
fixB ECK0043 JW0041 yaaR ,F,N/A,43188,44129,F
fixC ECK0044 JW0042 yaaS ,F,N/A,44180,45466,F
fixX ECK0045 JW0043 yaaT ,F,N/A,45463,45750,F
yaaU ECK0046 JW0044 yabE ,F,N/A,45807,47138,F
kefF ECK0047 JW0045 yabF ,F,N/A,47246,47776,F
kefC ECK0048 JW0046 trkC ,F,N/A,47769,49631,F
folA ECK004 JW0047 tmrA ,F,N/A,49823,50302,F
apaH cfcB ECK0050 JW0048 ,F,N/A,50380,51222,R
apaG corD ECK0051 JW004 temP ,F,N/A,51229,51606,R
rsmA ECK0052 JW0050 ksgA ,F,N/A,51609,52430,R
pdxA ECK0053 JW0051 ,F,N/A,52427,53416,R
surA ECK0054 JW0052 ,F,N/A,53416,54702,R
lptD ECK0055 imp JW0053 ostA yabG ,F,N/A,54755,57109,R
djlA ECK0056 JW0054 yabH ,F,N/A,57364,58179,F
yabP ECK0057 JW0055 yabQ ,F,N/A,58474,59279,F
rluA ECK005 JW0057 yabO ,F,N/A,59687,60346,R
rapA ECK0060 hepA JW0058 yabA ,T,N/A,60358,63264,R
polB dinA ECK0061 JW005 ,F,N/A,63429,65780,R
araD ECK0062 JW0060 ,F,N/A,65855,66550,R
araA ECK0063 JW0061 ,F,N/A,66835,68337,R
araB ECK0064 JW0062 ,F,N/A,68348,70048,R
araC ECK0065 JW0063 ,T,Both,70387,71265,F
yabI ECK0066 JW5005 ,F,N/A,71351,72115,F
thiQ ECK0067 JW0065 sfuC yabJ ,F,N/A,72229,72927,R
thiP ECK0068 JW0066 sfuB yabK ,F,N/A,72911,74521,R
thiB ECK006 JW0067 sfuA tbpA yabL ,F,N/A,74497,75480,R
sgrR ECK0070 JW0068 yabN ,T,Activator,75644,77299,R
sgrS ECK0071 JWR025 ryaA ,T,N/A,77367,77593,F
sgrT ECK4477 ,F,N/A,77388,77519,F
setA ECK0072 JW006 yabM ,F,N/A,77621,78799,F
leuD ECK0073 JW0070 ,F,N/A,78848,79453,R
leuC ECK0074 JW0071 ,F,N/A,79464,80864,R
leuB ECK0075 JW5807 ,F,N/A,80867,81958,R
leuA ECK0076 JW0073 ,F,N/A,81958,83529,R
leuL ECK0077 JW0074 leuLP ,F,N/A,83622,83708,R
leuO ECK0078 JW0075 ,T,Activator,84368,85312,F
ilvI ECK007 JW0076 ,F,N/A,85630,87354,F
ilvH brnP ECK0080 JW0077 ,F,N/A,87357,87848,F
cra ECK0081 fruC fruR fruS JW0078 serR,T,Both,88028,89032,F
mraZ ECK0082 JW007 yabB ,F,N/A,89634,90092,F
rsmH ECK0083 JW0080 mraW yabC ,F,N/A,90094,91035,F
ftsL ECK0084 JW0081 mraR yabD ,F,N/A,91032,91397,F
ftsI ECK0085 JW0082 pbpB sep ,F,N/A,91413,93179,F
murE ECK0086 JW0083 ,F,N/A,93166,94653,F
murF ECK0087 JW0084 mra ,F,N/A,94650,96008,F
mraY ECK0088 JW0085 murX ,F,N/A,96002,97084,F
murD ECK008 JW0086 ,F,N/A,97087,98403,F
ftsW ECK000 JW0087 ,F,N/A,98403,99647,F
murG ECK001 JW0088 ,F,N/A,99644,100711,F
murC ECK002 JW008 ,F,N/A,100765,102240,F
ddlB ddl ECK003 JW000 ,F,N/A,102233,103153,F
ftsQ ECK004 JW001 ,F,N/A,103155,103985,F
ftsA divA ECK005 JW002 ,F,N/A,103982,105244,F
ftsZ ECK006 JW003 sfiB sulB ,F,N/A,105305,106456,F
lpxC asmB ECK007 envA JW004 ,F,N/A,106557,107474,F
secM ECK008 JW5007 srrA yacA ,T,N/A,107705,108217,F
secA azi ECK00 JW006 pea prlD ,F,N/A,108279,110984,F
mutT ECK0100 JW007 nudA ,F,N/A,111044,111433,F
yacG ECK0101 JW5008 ,F,N/A,111649,111846,R
zapD ECK0102 JW00 yacF ,F,N/A,111856,112599,R
coaE ECK0103 JW0100 yacE ,F,N/A,112599,113219,R
guaC ECK0104 JW0101 ,F,N/A,113444,114487,F
hofC ECK0105 hopC JW0102 yacD ,F,N/A,114522,115724,R
hofB ECK0106 hopB JW0103 ,F,N/A,115714,117099,R
