spy,BaeR CpxR 
ycaC,
qseC qseB,BasR QseB 
yecR,FlhD 
flhE flhA flhB,FlhD 
fliE,CsgD FlhD 
fliK fliJ fliI fliH fliG fliF,CsgD FlhD 
sroC gltL gltK gltJ gltI,FlhD 
ytfE,NarP NarL 
ygbA,NsrR NsrR 
astE astB astD astA astC,NtrC ArgR 
nrdH nrdI nrdF nrdE,IscR 
cpxP,CpxR 
dsbA rdoA,CpxR 
dmsC dmsB dmsA,
moaE moaD moaC moaB moaA,
ptsG,SoxS Mlc Arc 
ptsG,Mlc Fis 
grcA,Fis PdhR 
rrfA rrlA alaT ileT rrsA,Lrp Fis 
rrfB rrlB gltT rrsB,Fis 
rrfC rrlC gltU rrsC,Fis 
rrfE rrlE gltV rrsE,Lrp Fis 
rrfG rrlG gltW rrsG,Fis 
rrfH rrlH alaV ileV rrsH,Fis 
rrfF thrV rrfD rrlD alaU ileU rrsD,Fis 
gdhA,ArgP 
sgrR sroA tbpA thiP thiQ,SgrR 
sgrT setA sgrS,Cra SgrR 
leuO,
cra,PhoB 
uof fur,OxyR SoxS 
uof fur fldA,SoxS 
fur,
dkgB,NsrR 
dinJ yafQ,DinJ YafQ LexA 
yafP yafO yafN dinB,LexA 
yafP yafO yafN,LexA 
crl,
yagK,RcdA 
ecpA,MatA 
ecpR,MatA 
ykgM ykgO,
rclC rclB rclA,RclR 
pdeL,Cra 
mhpT,NsrR 
iraP,CsgD 
ykiA,RcsB 
sbcD sbcC,PhoB 
fadM,FadR 
ybaO,MarA 
tomB hha,BasR PdhR CpxR 
hemH,OxyR 
ybdN,CysB 
dsbG,OxyR 
citC citD citE citF citX citG,Arc 
dpiA dpiB,NarL Arc 
ybfN chiP,
pnuC nadA,Nad 
acrZ,MarA 
ybhL,YjjQ 
mcbA,McbR 
ybjJ ybjI,RcdA 
rybB,NsrR 
lysO,ArgR 
rarA lolA,
yccT,CsgD 
yccA,CpxR 
gfcA,YjjQ 
wrbA yccJ,CsgD 
efeU_2 efeU_1,CpxR 
ycdZ,CytR 
dinI,NagC LexA 
ldtC,CpxR 
iraM,PhoP 
yciE yciF yciG,McbR 
yciX ymiA,YjjQ 
yciW,CysB 
puuP puuA,PuuR 
puuE puuB puuC puuR puuD,Arc 
ycjY,PgrR 
uspE,GadX 
hslJ,CysB 
ydbD,NsrR 
ynbD ynbC ynbB ynbA,RcsB 
mcbR,YgiV 
lsrK lsrR,
yneM,PhoP 
dgcZ,CysB CpxR 
ydfH,PhoB 
dicC ydfX ydfW,DicA 
dicA,DicA 
intQ insD ydfE ydfD dicB,DicA 
rspA rspB,YdfH 
add,RbsR 
mepH,NsrR 
rprA,CpxR 
ydiV,SdiA 
ynjI,RcsB 
yeaE,NsrR 
mipA,PhoB 
yeaR yoaG,Fis NarP NarL NsrR 
argP,ArgP PhoB 
yoaC,CysB 
cbl,CysB NtrC 
mntP,
yebE,CpxR 
yebG,LexA 
yebK,YebK 
yecT,RcsB 
ftnA,
yedX,YedW PhoB 
yefM yoeB,YefM YefM 
cyaR,CpxR 
rcnR,RcnR 
rcnB rcnA,RcnR 
mlrA,FliZ 
folE yeiB,MetJ 
yojI,Lrp 
arnF arnE arnT arnD arnA arnC arnB,BasR 
alaA,Lrp 
yfbR,CysB 
alaC,SgrR 
murR,MurR 
eutH eutA,HipB 
eutS eutP eutQ eutT eutD eutM,NagC 
glmY,
pgpC tadA,NsrR 
yfiB dgcN yfiR,YjjQ 
intA,AlpA 
ygaU,CpxR 
yqaE,CpxR 
casA casB casC casD casE cas1 cas2,
ptrA recB recD,LexA 
ppdA ppdB ygdB ppdC recC,FlhD 
ygeH,CysB 
fau ssrS,Fis Lrp 
argO,Lrp ArgP 
pitB,PhoB 
dkgA yqhD,YqhC 
yqhG,RcsB 
mqsR mqsA,MqsA 
ygiC ygiB ygiA tolC,MarA 
fadH,HipB FadR 
sfsB,RcsB 
ibaG,MlrA 
gspO gspM gspL gspK gspJ gspI gspH gspG gspF gspE gspD gspC,
tsgA,NsrR 
asd,ArgP 
yhjA,
yhjC,PhoB 
avtA,Lrp 
yibQ envC gpmM,Cra 
waaH,NsrR PhoB 
gor,OxyR 
dinD,LexA 
mioC,MraZ 
rffM wzyE rffT wzxE rffA rffC rffH rffG wecC wecB wzzE rfe,NsrR 
yjbE,RcsA 
yjbJ,FliZ 
adiC,PhoB GadE 
yjfN,CpxR 
yjfF ytfT ytfR ytfQ,AraC 
bdcA,NsrR 
pepA,ami I 
yjhC yjhB,NanR 
ydeA,Arc 
lgoR,UxuR 
ftsZ ftsA,
slt,CpxR 
ihfA pheT pheS pheM rplT rpmI infC thrS,NsrR 
norR,NsrR NorR 
mioC asnC,AsnC Nac 
mnmG mioC asnC,AsnC Nac 
mazF mazE relA,
ygbK,FlhD 
ftnB,CpxR 
mzrA yqjA,CpxR 
yjbH yjbG yjbF yjbE,RcsA 
nhaR,YdeO 
glgP glgA glgC glgX glgB,PhoP 
rnlB rnlA,IscR 
eptA,BasR 
cynS cynT,CynR 
hokD relE relB,RelB RelB 
crp,Fis 
crp,Fis 
hypF,Cra 
hypF,Cra 
eno,Cra 
eno,Cra 
eno,Cra 
hisP hisM hisQ hisJ,
csgG csgF csgE csgD,FliZ RstA 
gadW gadX,PhoB GadX RutR GadW GadE 
lpxC ftsZ ftsA ftsQ ddlB murC murG ftsW murD mraY murF murE ftsI ftsL,LexA 
ftsK,LexA 
cysH,HypT 
rutR,RutR 
ydeO safA,YdeO PhoP EvgA 
bglJ yjjQ,
cspE,DinJ 
dctA,Arc 
trg,Fis 
sbmC,
yhbS yhbT,CsgD 
tpiA,Cra 
ydhT ydhU ydhX ydhW ydhV ydhY,NarL NarP 
ecnB,OmpR 
nemA nemR,RutR NemR 
