spy,BaeRCpxR
ycaC,BaeR
qseC qseB,BasRQseB
yecR,FlhDC
flhE flhAflhB,FlhDC
fliE,CsgDFlhDC
fliK fliJfliIfliHfliG fliF,CsgDFlhDC
sroC gltLgltKgltJgltI,FlhDC
ytfE,NarPNarLNsrR
ygbA,NsrR-nitricoxideNsrR
astE astBastDastAastC,NtrCArgR-L-arginine
nrdH nrdInrdFnrdE,IscR
cpxP,CpxR
dsbA rdoA,CpxR
ptsG,SoxSMlcFis
ptsG,MlcFis
grcA,FisPdhR
rrfA rrlAalaTileTrrsA,Lrp-LeucineFis
rrfB rrlBgltTrrsB,Lrp-LeucineFis
rrfC rrlCgltUrrsC,Lrp-LeucineFis
rrfE rrlEgltVrrsE,Lrp-LeucineFis
rrfG rrlGgltWrrsG,Lrp-LeucineFis
rrfH rrlHalaVileVrrsH,Lrp-LeucineFis
rrfF thrVrrfDrrlDalaU ileUrrsD,Lrp-LeucineFis
gdhA,ArgPNac
sgrR sroAtbpAthiPthiQ,SgrR
sgrT setAsgrS,CraSgrR
leuO,LeuO
cra,PhoB
uof fur,OxyRSoxS
uof furfldA,SoxS
dkgB,NsrR-nitricoxide
dinJ yafQ,DinJYafQLexA
yafP yafOyafNdinB,LexA
yafP yafOyafN,LexA
yagK,RcdA
ecpA,MatA
ecpR,MatA
rclC rclBrclA,RclR
pdeL,Cra
mhpT,NsrR-nitricoxide
iraP,CsgD
ykiA,RcsB-BglJ
sbcD sbcC,PhoB
fadM,FadR
ybaO,MarA
tomB hha,BasRPdhRCpxR
hemH,OxyR
ybdN,CysB-O-acetyl-L-serine
dsbG,OxyR
dpiA dpiB,NarL
ybfN chiP,NagC
acrZ,SoxSMarA
ybhL,YjjQ
mcbA,McbR
ybjJ ybjI,RcdA
rybB,NsrR
lysO,ArgR-arg
yccT,CsgD
yccA,CpxR
gfcA,YjjQ
wrbA yccJ,CsgD
efeU_2 efeU_1,CpxR
ycdZ,CytR
dinI,NagCLexA
ldtC,CpxR
iraM,PhoP
yciE yciFyciG,McbR
yciX ymiA,YjjQ
yciW,CysB-O-acetyl-L-serine
puuP puuA,PuuR
puuE puuBpuuCpuuRpuuD,PuuR
ycjY,PgrR
uspE,GadX
hslJ,CysB-O-acetyl-L-serine
ydbD,NsrR-nitricoxide
ynbD ynbCynbBynbA,RcsB-BglJ
mcbR,YgiV
lsrK lsrR,LsrR
yneM,PhoP
dgcZ,CysB-O-acetyl-L-serineCpxR
ydfH,PhoB
dicC ydfXydfW,DicA
dicA,DicA
intQ insDydfEydfDdicB,DicA
rspA rspB,YdfH
add,RbsR-ribose
mepH,NsrR-nitricoxide
rprA,CpxR
ydiV,SdiA
ynjI,RcsB-BglJ
yeaE,NsrR-nitricoxide
mipA,PhoB
yeaR yoaG,FisNarPNarLNsrR
argP,ArgP-argininePhoB
yoaC,CysB-O-acetyl-L-serine
cbl,CysB-O-acetyl-L-serineNtrC
yebE,CpxR
yebG,LexA
yebK,YebK
yecT,RcsB-BglJ
yedX,YedWPhoB
yefM yoeB,YefM-antitoxinYefM-YoeB
cyaR,CpxR
rcnR,RcnR
rcnB rcnA,RcnR
mlrA,FliZ
folE yeiB,MetJ-S-adenosylmethionine
yojI,Lrp-Leucine
arnF arnEarnTarnDarnA arnCarnB,BasR
alaA,Lrp-Leucine
yfbR,CysB-O-acetyl-L-serine
alaC,SgrR
murR,MurR
eutH eutA,HipBantitoxinand
eutS eutPeutQeutTeutD eutM,NagC
pgpC tadA,NsrR-nitricoxide
yfiB dgcNyfiR,YjjQ
intA,AlpA;CP4-57prophage
ygaU,CpxR
yqaE,CpxR
casA casBcasCcasDcasE cas1cas2,LeuO
ptrA recBrecD,LexA
ppdA ppdBygdBppdCrecC,FlhDC
ygeH,CysB-O-acetyl-L-serine
fau ssrS,FisLrp
argO,Lrp-LeucineArgP-arginine
pitB,PhoB
dkgA yqhD,YqhC
yqhG,RcsB-BglJ
mqsR mqsA,MqsAantitoxinoftheMqsRAtoxin-antitoxinsystemand
ygiC ygiBygiAtolC,SoxSMarA
fadH,HipBantitoxinandFadR
sfsB,RcsB-BglJ
ibaG,MlrA
tsgA,NsrR-nitricoxide
asd,ArgP
yhjA,OxyR
yhjC,PhoB
avtA,Lrp-Leucine
yibQ envCgpmM,Cra
waaH,NsrR-nitricoxidePhoB
gor,OxyR
dinD,LexA
mioC,MraZ
rffM wzyErffTwzxErffA rffCrffHrffGwecC wecBwzzErfe,NsrR-nitricoxide
yjbE,RcsAB
yjbJ,FliZ
adiC,PhoBGadE-RcsB
yjfN,CpxR
yjfF ytfTytfRytfQ,AraC
bdcA,NsrR-nitricoxide
pepA,I
yjhC yjhB,NanR
lgoR,UxuR
slt,CpxR
ihfA pheTpheSpheMrplT rpmIinfCthrS,NsrR-nitricoxide
norR,NsrR-nitricoxideNorR
mioC asnC,AsnCNac
mnmG mioCasnC,AsnCNac
ygbK,FlhDC
ftnB,CpxR
mzrA yqjA,CpxR
yjbH yjbGyjbFyjbE,RcsAB
nhaR,YdeO
glgP glgAglgCglgXglgB,PhoP
rnlB rnlA,IscR
eptA,BasR
cynS cynT,CynR-Cyanate
hokD relErelB,RelB-RelERelB-antitoxinand
crp,Fis
crp,Fis
hypF,Cra
hypF,Cra
eno,Cra
eno,Cra
eno,Cra
hisP hisMhisQhisJ,ArgR-L-arginine
csgG csgFcsgEcsgD,FliZRstA
gadW gadX,PhoBGadXRutRGadWGadE
lpxC ftsZftsAftsQddlB murCmurGftsWmurD mraYmurFmurEftsI ftsL,LexA
ftsK,LexA
cysH,HypT-[Met-oxidized]
rutR,RutR
ydeO safA,YdeOPhoPEvgA
bglJ yjjQ,LeuO
cspE,DinJ-YafQ
dctA,DcuR
trg,Fis
sbmC,LexA
yhbS yhbT,CsgD
tpiA,Cra
ydhT ydhUydhXydhWydhV ydhY,NarLNarP
ecnB,OmpR
nemA nemR,RutRNemR
fau ssrS,FisLrp
pstS,PhoB
pstA pstCpstS,PhoB
ygiC ygiBygiAtolC,PhoP
ygiC ygiBygiAtolC,MarASoxS
murP murQ,MurR
murP murQ,MurR
gadW,YdeO
gadW,GadXGadWSdiAPhoP
gadE,GadXYdeO
fadR,FadR-acyl-CoA
yjeV,DnaA-ATP
ogt,NarLFis
waaZ waaY,MarASoxS
citG citXcitFcitEcitD citC,NarL
dpiA dpiB,DcuRNarL
ahpF ahpC,OxyR
ymgC ariRymgAycgZ,BluR
flhC flhD,MatA
acrD,BaeRCpxR
mgrR,PhoP
fabB,FabRFadR
flxA,Fis
fliC,MatAGadE
flgN flgM,CsgD
ycgR,FlhDC
pdeH,FlhDC
yhcH nanKnanEnanTnanA,FisNanR
sodB,NsrR-nitricoxide
asr,RcdARstAPhoB
ribA,SoxS
osmC,Lrp
osmC,Lrp
ychF,OxyR
metK,MetJ-S-adenosylmethionine
pspF,PspF
cusA cusBcusFcusC,YedWPhoB
cusS cusR,YedWPhoB
inaA,MarASoxS
iscA iscUiscSiscR,IscR-2Fe-2S
dcuD,PhoP
gabP gabTgabD,Nac
glcA glcBglcGglcFglcE glcD,PdhRGlcC-Glycolate
glcC,CraFisGlcC-Glycolate
osmY,FliZFisLrp
recN,LexA
psiE,PhoB
ybjN rimKnfsAybjC,MarAOxyRSoxS
gadX,PhoBGadXRutRGadWGadE
metQ metImetN,HypT-[Met-oxidized]MetJ-S-adenosylmethionine
serA,Lrp-Leucine
mhpF mhpEmhpDmhpCmhpB mhpA,MhpR-3HPP
mgtL mgtA,PhoP
treR,PhoP
treR,PhoP
mgrB,PhoP
topA,Fis
topA,Fis
gyrB,Fis
sufE sufSsufDsufCsufB sufA,NsrR-nitricoxideOxyRIscR
micF,AcrRLrp-LeucineLrpMarASoxSHUOmpR
isrC flu,OxyR
cpxA cpxR,CpxR
emrY emrK,EvgA
trxC,OxyR
ybaT ybaS,GadX
cydB cydA,Cra
fldB,SoxS
patA,NtrCFis
bamE,NsrR-nitricoxideCpxR
mscM psd,CpxR
bacA,CpxR
yaiW sbmA,CpxR
uspD yiiS,YdeO
hisP hisMhisQhisJargT,NtrC
prpE prpDprpCprpB,CraPrpR-2-methylcitrate
yeaH yeaG,NtrC
yhdZ yhdYyhdXyhdW,NtrC
ddpF ddpDddpCddpBddpA ddpX,NtrC
yciG,McbR
glgP glgA,PhoP
phoU,PhoB
uxaB,ExuR
ssrS,FisLrp
ssrS,FisLrp
iraM,PhoP
dgkA,BasR
rutA rutBrutCrutDrutE rutFrutG,RutRNtrCPhoP
actP yjcHacs,Fis
actP yjcHacs,Fis
metL metB,HypT-[Met-oxidized]MetJ-S-adenosylmethioninePhoP
proP,Fis
sra,OmpRFis
ftsQ,SdiA
gabP gabTgabDlhgOcsiD,CsiRLrp-Leucine
pdeR,FliZRutR
dsbC,CpxR
lpxA fabZlpxDskp,CpxRGadE
phoQ,PhoB
ydeM ydeN,AraC-ArabinoseNagC
ydeI,RcdA
sroD fadD,FadR
leuO,LeuORcsB-BglJ
yjiY,YehT
yhjX,YpdB
waaH,BasR
bluF,RcdA
leuL,LeuO
gntK,GntRIdnR-5-ketogluconate
tnaC,TorR
bglG,RcsB-BglJLeuOFis
ilvL,LrpLrp-Leucine
mpaA ymjCymjDycjY,PgrR
leuE,Lrp-Leucine
cbpM cbpA,Fis
cbpM cbpA,Fis
gloA nemAnemR,RutRNemR
patD ydcVydcUydcTydcS,Nac
ompN ydbK,SoxS
nanA,FisNanR
nanS nanMnanC,NanRNagC
feaR,PhoBNsrR-nitricoxideNac
tynA,FeaR
bglG,RcsB-BglJ
ygeA araE,AraC-Arabinose
galE,GalRHUGalS
galE,HUGalRGalSGalR-galactoseGalS-galactose
galT galE,GalRHUGalS
galT galE,HUGalRGalSGalR-galactoseGalS-galactose
galK galTgalE,GalRHUGalS
galK galTgalE,HUGalRGalSGalR-galactoseGalS-galactose
relA,NtrC
ariR,CysB-O-acetyl-L-serine
accA,FadR
accC accB,FadR
fabI,FadR
iclR,IclR-pyruvateFadR
nagE,NagC
norW norV,NarLNarPNorR
pgm seqA,HU
garD,CdaR
gudD gudXgudP,CdaR
mngB mngA,MngR
rpiB,AlsR
cdaR,CdaR
alsE alsCalsAalsBrpiR,AlsR
alsE alsCalsAalsBrpiR,AlsR
recX recA,LexA
fumB dcuB,DcuR
nfsB,SoxSMarA
idnK,GntRIdnR
idnR idnTidnOidnD,GntRIdnR-5-ketogluconate
bglB bglFbglG,RcsB-BglJLeuOFis
gadE,PhoPGadE
hdeD,PhoPGadEGadX
yeaD gapA,Cra
gapA,Cra
gapA,Cra
gapA,Cra
gntT,GntR
gntT,GntR
asnB,GadX
lon,GadX
gntP,OxyRUxuR
nfuA gntX,GntR
uxaA uxaC,ExuR
uxuR,UxuRExuR
exuR,ExuR
uidC uidBuidA,UidRUxuR
uidR,UidR
gnd,GadE
ulaF ulaEulaDulaCulaB ulaA,UlaR
ulaG,UlaR
apaH apaGrsmApdxA,Fis
rsmA pdxA,Fis
fadJ fadI,FadR
malZ,MalT-Maltotriose-ATP
dmsD ynfHynfGynfFynfE,NarL
argG,ArgR-L-arginine
mdtF mdtEgadE,FliZGadXGadWGadEEvgAYdeO
pspG,PspF
gadY,GadWGadX
glnA,NtrC
glnA,FisNtrC
cytR,CytR
serC,Lrp
ugpQ ugpCugpEugpAugpB,PhoB
ugpQ ugpCugpEugpAugpB,PhoB
yidQ,CpxR
dcuA aspA,NarL
gcvB,GcvA
pnp rpsOtruBrbfAinfB nusArimPmetY,Fis
tisB,LexA
murI btuB,GadX
dinG,LexA
folA,TyrR-Tyrosine
dapB,ArgP
lysP,LrpArgP
gltX,Fis
amn,PhoB
alaS,AlaS-L-alanine
dapD,ArgP
pgi,SoxS
cspD,MqsAantitoxinoftheMqsRAtoxin-antitoxinsystemand
katE,Fis
ppc,Cra
ung,CpxR
lysC,ArgP
uvrC,LexA
ansB,Fis
agaA agaWagaVkbaZ,AgaR
agaR,AgaR
agaI agaDagaCagaBkbaY agaS,AgaR
ppiD,CpxR
ssuB ssuCssuDssuAssuE,CysB-O-acetyl-L-serineCbl
aceF aceE,NsrR-nitricoxide
ruvB ruvA,LexA
ptrA,LexA
uvrC uvrY,LexA
nanM nanC,NanRNagC
ilvH ilvI,Lrp
cspI,BasRFis
tsr,CpxR
hcr hcp,OxyRNsrRNarLNarP
galP,NagCGalS-galactoseGalR-galactoseGalRGalS
hcaR,HcaR
hcaD hcaBhcaChcaFhcaE,HcaR-HCA
prpR,PhoBAscGPrpR-2-methylcitrate
mntH,OxyR
tktB,PhoB
glk,Cra
evgS evgA,EvgA
evgS evgA,EvgA
polB,LexA
allA,AllR-allantoin
allS,AllR-allantoin
glxK ybbYallBybbWglxR hyigcl,AllR-allantoin
allE allCallD,AllS-allantoin
fhuF,OxyR
ydeP,UvrY-PhosphorylatedNarPNarLNagCPhoPEvgA
yegZ yegR,EvgA
frc,EvgA
yfdE yfdVoxcfrc yfdX,EvgA
yrbL,BasRPhoP
borD,PhoP
rstB rstA,PhoP
slyB,PhoP
slyB,PhoP
rob,SoxSMarA
nagA,PhoP
hemL,PdhRPhoP
pagP,PhoP
ybjG,PhoP
ompT,PhoP
tam lsrGlsrFlsrBlsrD lsrClsrA,LsrR
baeR baeSmdtDmdtCmdtB mdtA,BaeRCpxR
mglC mglA,Fis
dhaR,DhaR
dhaM dhaLdhaK,DhaR
glnQ,Fis
acrD,EvgA
fbaA pgkepd,Cra
artJ,ArgR-L-arginine
metE,MetJ-S-adenosylmethionineMetR-L-homocysteine
metR,MetJ-S-adenosylmethionineMetR-L-homocysteine
metR,MetJ-S-adenosylmethionineMetR-L-homocysteine
ydjM,LexA
insK,LexA
dinQ,LexA
symE,LexA
ybfE,LexA
hokE,LexA
cho,LexA
acrR,AcrR
yqjH,YqjI
zinT,SoxS
fliE,CsgD
fhlA hypEhypDhypChypB hypA,NsrR-nitricoxideFhlA-Formate
dcuR dcuS,NarL
fbaB,Cra
pgaD pgaCpgaBpgaA,OmpR
argA,ArgR-L-arginine
dtpA,OmpR
metY,ArgR-L-arginine
erpA,IscR
nfuA,IscR
ydiU,IscR
napC napBnapHnapGnapA napDnapF,IscR
oxyS,OxyR
ybiT,AscG
yhiM,GadE-RcsB
yidL,RcsB-BglJ
lgoD,UxuR
yncE,MarA
yqjI,YqjI
rcdA,RcdA
ydbK,SoxS
yegH,PhoB
ttdR,Dan-L-tartrate
ygiZ,RcsB-BglJ
omrB,OmpR
omrA,OmpR
dacC,BolA
dsrA,LeuO
fadE,FadR
feaB,FeaRNsrR
grxD,NsrR-nitricoxide
galR,GalS-galactoseGalR-galactose
nlpA,CsgD
aslB,GadE-RcsB
dgcC,CsgD
pepD,CsgD
molR_1,RcsB-BglJLexA
lpxC ftsZftsAftsQddlB murCmurGftsWmurD mraYmurFmurEftsI ftsLrsmHmraZ,MraZPdhR
mpl,Cra
aceB aceAaceK,IclR-pyruvateCra
alkA,Ada
araC,AraCAraC-Arabinose
argC argBargH,ArgR-L-arginine
argF,ArgR-L-arginine
argI,ArgR-L-arginine
argR,ArgR-L-arginine
tyrA aroF,TyrR-Tyrosine
aroG,TyrR-PhenylalanineCpxR
aroL yaiAaroM,TyrR-Tyrosine
aroP,CraTyrR-Tyrosine
bioA,BirA-bio-5'-AMP
deoC deoAdeoBdeoD,DeoR
deoC deoAdeoBdeoD,DeoRCytRFis
dmsA dmsBdmsC,FisNarL
dusB fis,Fis
frdD frdCfrdBfrdA,NarLDcuR
galS,GalSGalR
galM galKgalTgalE,GalRHUGalS
galM galKgalTgalE,HUGalRGalSGalR-galactoseGalS-galactose
glnG glnLglnA,NtrC
glnG glnL,NtrC
glnG glnLglnA,FisNtrC
glpA glpBglpC,FisGlpRFlhDC
glpD,GlpR
ilvY,IlvYIlvY-2-acetolactate
katG,OxyR
kdpF kdpCkdpBkdpA,KdpE
lacA lacYlacZ,LacI
lexA dinF,LexA
malG malFmalE,FisMalT-Maltotriose-ATP
malQ malP,MalT-Maltotriose-ATP
melR,MelRMelR-Melibiose
metA,MetJ-S-adenosylmethionine
metH,MetR
