thrL ECK0001 JW4367 ,unknown,N/A,190,255,F
thrA ECK0002 Hs JW0001 thrA1 thrA2 thrD ,F,N/A,337,2799,F
thrB ECK0003 JW0002 ,F,N/A,2801,3733,F
thrC ECK0004 JW0003 ,F,N/A,3734,5020,F
yaaX ECK0005 JW0004 ,unknown,N/A,5234,5530,F
yaaA ECK0006 JW0005 ,unknown,N/A,6459,5683,R
yaaJ ECK0007 JW0006 ,unknown,N/A,7959,6529,R
talB ECK0008 JW0007 yaaK ,F,N/A,8238,9191,F
mog bisD chlG ECK000 JW0008 mogA yaaG ,unknown,N/A,9306,9893,F
satP ECK0010 JW000 yaaH ,unknown,N/A,10494,9928,R
yaaW ECK0011 JW0010 ,F,N/A,11356,10643,R
yaaI ECK0013 JW0012 ,unknown,N/A,11786,11382,R
dnaK ECK0014 groPAB groPC groPF grpC grpF,unknown,N/A,12163,14079,F
dnaJ ECK0015 faa groP grpC JW0014 ,unknown,N/A,14168,15298,F
insL1 ECK0016 ,unknown,N/A,15445,16557,F
mokC ECK4466 gefL ,T,unknown,16960,16751,R
hokC ECK0018 gef JW587 ,unknown,N/A,16903,16751,R
sokC ECK001 JWR0224 sof ,T,unknown,16952,17006,F
nhaA ant antA ECK0020 JW0018 ,unknown,N/A,17489,18655,F
nhaR antO ECK0021 JW001 yaaB ,T,Activator,18715,19620,F
insB1 ECK0022 ,unknown,N/A,20314,19811,R
insA ECK0023 ,T,Repressor,20508,20233,R
rpsT ECK0024 JW0022 sup ,unknown,N/A,21078,20815,R
yaaY ECK0025 JW5003 ,unknown,N/A,21181,21399,F
ribF ECK0026 JW0023 yaaC ,T,unknown,21407,22348,F
ileS ECK0027 ilvS JW0024 ,F,N/A,22391,25207,F
lspA ECK0028 JW0025 ,F,N/A,25207,25701,F
fkpB ECK002 JW0026 slpA yaaD ,F,N/A,25826,26275,F
ispH ECK0030 JW0027 lytB yaaE ,unknown,N/A,26277,27227,F
rihC ECK0031 JW0028 yaaF ,unknown,N/A,27293,28207,F
dapB ECK0032 JW002 ,F,N/A,28374,29195,F
carA arg cap ECK0033 JW0030 pyrA ,F,N/A,29651,30799,F
carB cap ECK0034 JW0031 pyrA ,F,N/A,30817,34038,F
caiF ECK0035 JW0033 ,T,Activator,34300,34695,F
caiE ECK0036 JW5004 ,F,N/A,35371,34781,R
caiD ECK0037 JW0035 yaaL ,F,N/A,36162,35377,R
caiC ECK0038 JW0036 yaaM ,F,N/A,37824,36271,R
caiB ECK003 JW0037 yaaN ,F,N/A,39115,37898,R
caiA ECK0040 JW0038 yaaO ,T,unknown,40386,39244,R
caiT ECK0041 JW003 yaaP ,unknown,N/A,41931,40417,R
fixA ECK0042 JW0040 yaaQ ,F,N/A,42403,43173,F
fixB ECK0043 JW0041 yaaR ,F,N/A,43188,44129,F
fixC ECK0044 JW0042 yaaS ,unknown,N/A,44180,45466,F
fixX ECK0045 JW0043 yaaT ,unknown,N/A,45463,45750,F
yaaU ECK0046 JW0044 yabE ,unknown,N/A,45807,47138,F
kefF ECK0047 JW0045 yabF ,F,N/A,47246,47776,F
kefC ECK0048 JW0046 trkC ,unknown,N/A,47769,49631,F
folA ECK004 JW0047 tmrA ,F,N/A,49823,50302,F
apaH cfcB ECK0050 JW0048 ,F,N/A,51222,50380,R
apaG corD ECK0051 JW004 temP ,unknown,N/A,51606,51229,R
rsmA ECK0052 JW0050 ksgA ,F,N/A,52430,51609,R
pdxA ECK0053 JW0051 ,F,N/A,53416,52427,R
surA ECK0054 JW0052 ,unknown,N/A,54702,53416,R
lptD ECK0055 imp JW0053 ostA yabG ,unknown,N/A,57109,54755,R
djlA ECK0056 JW0054 yabH ,unknown,N/A,57364,58179,F
yabP ECK0057 JW0055 yabQ ,unknown,N/A,58474,59279,F
rluA ECK005 JW0057 yabO ,F,N/A,60346,59687,R
rapA ECK0060 hepA JW0058 yabA ,T,unknown,63264,60358,R
polB dinA ECK0061 JW005 ,F,N/A,65780,63429,R
araD ECK0062 JW0060 ,F,N/A,66550,65855,R
araA ECK0063 JW0061 ,F,N/A,68337,66835,R
araB ECK0064 JW0062 ,F,N/A,70048,68348,R
araC ECK0065 JW0063 ,T,Both,70387,71265,F
yabI ECK0066 JW5005 ,unknown,N/A,71351,72115,F
thiQ ECK0067 JW0065 sfuC yabJ ,unknown,N/A,72927,72229,R
thiP ECK0068 JW0066 sfuB yabK ,unknown,N/A,74521,72911,R
thiB ECK006 JW0067 sfuA tbpA yabL ,unknown,N/A,75480,74497,R
sgrR ECK0070 JW0068 yabN ,T,Activator,77299,75644,R
sgrS ECK0071 JWR025 ryaA ,T,unknown,77367,77593,F
sgrT ECK4477 ,unknown,N/A,77388,77519,F
setA ECK0072 JW006 yabM ,unknown,N/A,77621,78799,F
leuD ECK0073 JW0070 ,F,N/A,79453,78848,R
leuC ECK0074 JW0071 ,F,N/A,80864,79464,R
leuB ECK0075 JW5807 ,F,N/A,81958,80867,R
leuA ECK0076 JW0073 ,F,N/A,83529,81958,R
leuL ECK0077 JW0074 leuLP ,unknown,N/A,83708,83622,R
leuO ECK0078 JW0075 ,T,Activator,84368,85312,F
ilvI ECK007 JW0076 ,F,N/A,85630,87354,F
ilvH brnP ECK0080 JW0077 ,F,N/A,87357,87848,F
cra ECK0081 fruC fruR fruS JW0078 serR,T,Both,88028,89032,F
mraZ ECK0082 JW007 yabB ,unknown,N/A,89634,90092,F
rsmH ECK0083 JW0080 mraW yabC ,F,N/A,90094,91035,F
ftsL ECK0084 JW0081 mraR yabD ,unknown,N/A,91032,91397,F
ftsI ECK0085 JW0082 pbpB sep ,F,N/A,91413,93179,F
murE ECK0086 JW0083 ,F,N/A,93166,94653,F
murF ECK0087 JW0084 mra ,F,N/A,94650,96008,F
mraY ECK0088 JW0085 murX ,F,N/A,96002,97084,F
murD ECK008 JW0086 ,F,N/A,97087,98403,F
ftsW ECK000 JW0087 ,unknown,N/A,98403,99647,F
murG ECK001 JW0088 ,F,N/A,99644,100711,F
murC ECK002 JW008 ,F,N/A,100765,102240,F
ddlB ddl ECK003 JW000 ,F,N/A,102233,103153,F
ftsQ ECK004 JW001 ,unknown,N/A,103155,103985,F
ftsA divA ECK005 JW002 ,unknown,N/A,103982,105244,F
ftsZ ECK006 JW003 sfiB sulB ,F,N/A,105305,106456,F
lpxC asmB ECK007 envA JW004 ,F,N/A,106557,107474,F
secM ECK008 JW5007 srrA yacA ,T,unknown,107705,108217,F
secA azi ECK00 JW006 pea prlD ,unknown,N/A,108279,110984,F
mutT ECK0100 JW007 nudA ,F,N/A,111044,111433,F
yacG ECK0101 JW5008 ,unknown,N/A,111846,111649,R
zapD ECK0102 JW00 yacF ,unknown,N/A,112599,111856,R
coaE ECK0103 JW0100 yacE ,unknown,N/A,113219,112599,R
guaC ECK0104 JW0101 ,F,N/A,113444,114487,F
hofC ECK0105 hopC JW0102 yacD ,unknown,N/A,115724,114522,R
hofB ECK0106 hopB JW0103 ,unknown,N/A,117099,115714,R
ppdD ECK0107 JW0104 ,unknown,N/A,117549,117109,R
nadC ECK0108 JW0105 ,F,N/A,118645,117752,R
ampD ECK010 JW0106 ,T,unknown,118733,119284,F
ampE ECK0110 JW0107 ,T,unknown,119281,120135,F
aroP ECK0111 JW0108 ,unknown,N/A,121551,120178,R
pdhR aceC ECK0112 genA JW010 yacB ,T,Repressor,122092,122856,F
aceE ECK0113 JW0110 ,F,N/A,123017,125680,F
aceF ECK0114 JW0111 ,F,N/A,125695,127587,F
lpd dhl ECK0115 JW0112 lpdA ,F,N/A,127912,129336,F
yacH ECK0116 JW0113 ,unknown,N/A,131260,129407,R
acnB ECK0117 JW0114 yacI yacJ ,F,N/A,131615,134212,F
yacL ECK0118 JW0115 ,unknown,N/A,134388,134750,F
speD ECK011 JW0116 ,F,N/A,135582,134788,R
speE ECK0120 JW0117 ,F,N/A,136464,135598,R
yacC ECK0121 gspS JW0118 ,unknown,N/A,136917,136570,R
cueO cuiD ECK0122 JW011 yacK ,unknown,N/A,137083,138633,F
gcd ECK0123 JW0120 ,F,N/A,141225,138835,R
hpt ECK0124 JW500 ,F,N/A,141431,141967,F
can ECK0125 JW0122 yadF ,F,N/A,142670,142008,R
yadG ECK0126 JW0123 ,unknown,N/A,142779,143705,F
yadH ECK0127 JW0124 ,unknown,N/A,143702,144472,F
yadI agaX ECK0128 JW0125 ,F,N/A,144577,145017,F
yadE ECK012 JW0126 ,unknown,N/A,145081,146310,F
panD ECK0130 JW0127 ,F,N/A,146694,146314,R
yadD ECK0131 JW5010 ,unknown,N/A,146968,147870,F
panC ECK0132 JW012 ,F,N/A,148795,147944,R
panB ECK0133 JW0130 panA ,F,N/A,149601,148807,R
yadC ECK0134 JW0131 ,unknown,N/A,150953,149715,R
yadK ECK0135 JW0132 ,unknown,N/A,151599,151003,R
yadL ECK0136 JW0133 ,unknown,N/A,152231,151626,R
yadM ECK0137 JW0134 ,unknown,N/A,152812,152243,R
htrE ECK0138 JW0135 ,unknown,N/A,155426,152829,R
yadV ECK013 ecpD JW0136 ,unknown,N/A,156201,155461,R
yadN ECK0140 JW0137 ,unknown,N/A,156883,156299,R
folK ECK0141 JW0138 ,F,N/A,157732,157253,R
pcnB ECK0142 JW5808 ,T,unknown,159126,157729,R
gluQ ECK0143 JW582 yadB ,F,N/A,160112,159186,R
dksA ECK0144 JW0141 msmA ,T,unknown,160604,160149,R
sfsA ECK0145 JW0142 sfs sfs1 ,T,unknown,161486,160782,R
ligT ECK0146 JW5011 yadP ,F,N/A,162031,161501,R
hrpB ECK0147 JW0144 yadO ,F,N/A,162105,164534,F
mrcB ECK0148 JW0145 pbpF ponB ,F,N/A,164730,167264,F
fhuA ECK014 JW0146 T1 tonA ,unknown,N/A,167484,169727,F
fhuC ECK0150 JW0147 ,unknown,N/A,169778,170575,F
fhuD ECK0151 JW0148 ,unknown,N/A,170575,171465,F
fhuB ECK0152 JW014 ,unknown,N/A,171462,173444,F
hemL ECK0153 gsa JW0150 popC ,F,N/A,174882,173602,R
clcA ECK0154 eriC JW5012 yadQ ,unknown,N/A,175107,176528,F
erpA ECK0155 JW0152 yadR ,unknown,N/A,176610,176954,F
yadS ECK0156 JW0153 ,unknown,N/A,177624,177001,R
btuF ECK0157 JW0154 yadT ,unknown,N/A,178462,177662,R
mtn ECK0158 JW0155 mtnN pfs yadA ,unknown,N/A,179153,178455,R
dgt ECK015 JW0156 optA ,F,N/A,179237,180754,F
degP ECK0160 htrA JW0157 ptd ,F,N/A,180884,182308,F
cdaR ECK0161 JW5013 sdaR yaeG ,T,unknown,182463,183620,F
yaeH ECK0162 JW015 ,unknown,N/A,184095,183709,R
yaeI ECK0163 JW5014 ,unknown,N/A,185069,184257,R
dapD ECK0164 JW0161 ssa ,F,N/A,185947,185123,R
glnD ECK0165 JW0162 ,T,unknown,188650,185978,R
map ECK0166 JW0163 pepM ,F,N/A,189506,188712,R
tff ECK0167 JWR0225 t44 ,unknown,N/A,189712,189847,F
rpsB ECK0168 JW0164 ,unknown,N/A,189874,190599,F
tsf ECK016 JW0165 ,unknown,N/A,190857,191708,F
pyrH ECK0170 JW0166 smbA umk ,F,N/A,191855,192580,F
frr ECK0171 JW0167 rrf ,unknown,N/A,192872,193429,F
dxr ECK0172 ispC JW0168 yaeM ,unknown,N/A,193521,194717,F
ispU ECK0173 JW016 rth uppS yaeS ,unknown,N/A,194903,195664,F
cdsA ECK0174 JW5810 ,F,N/A,195677,196534,F
rseP ecfE ECK0175 JW0171 yaeL ,T,Activator,196546,197898,F
bamA ecfK ECK0176 JW0172 omp85 yaeT yzzN,unknown,N/A,197928,200360,F
skp ECK0177 hlpA JW0173 ompH ,unknown,N/A,200482,200967,F
lpxD ECK0178 firA JW0174 omsA ssc ,F,N/A,200971,201996,F
fabZ ECK017 JW0175 sabA sefA sfhC yaeA ,F,N/A,202101,202556,F
lpxA ECK0180 JW0176 ,F,N/A,202560,203348,F
lpxB ECK0181 JW0177 pgsB ,F,N/A,203348,204496,F
rnhB ECK0182 JW0178 ,F,N/A,204493,205089,F
dnaE ECK0183 JW017 polC sdgC ,F,N/A,205126,208608,F
accA ECK0184 JW0180 ,F,N/A,208621,209580,F
ldcC ECK0185 JW0181 ldc LDC2 ldcH ,F,N/A,209679,211820,F
yaeR ECK0186 JW0182 ,unknown,N/A,211877,212266,F
tilS ECK0187 JW0183 mesJ yaeN ,F,N/A,212331,213629,F
rof ECK0188 JW0184 mesJ yaeO ,T,unknown,213932,213678,R
yaeP ECK018 JW0185 ,unknown,N/A,214125,213925,R
yaeQ ECK010 JW0186 ,F,N/A,214291,214836,F
arfB ECK011 JW0187 yaeJ ,unknown,N/A,214833,215255,F
nlpE cutF ECK012 JW0188 ,unknown,N/A,215269,215979,F
yaeF ECK013 JW5016 yaeK ,unknown,N/A,217003,216179,R
proS drpA ECK014 JW010 ,F,N/A,218775,217057,R
tsaA ECK015 JW011 yaeB ,F,N/A,219594,218887,R
rcsF ECK016 JW012 ,T,unknown,219995,219591,R
metQ ECK017 JW013 metD yaeC ,unknown,N/A,220928,220113,R
metI ECK018 JW014 metD yaeE ,unknown,N/A,221621,220968,R
metN abc ECK01 JW015 metD ,unknown,N/A,222645,221614,R
gmhB ECK0200 gmbC gmbX gmhX JW016 wcbN,F,N/A,222833,223408,F
rrsH ECK0201 JWR0001 ,unknown,N/A,223771,225312,F
ileV ECK0202 JWR0002 ,unknown,N/A,225381,225457,F
alaV ECK0203 JWR0003 ,unknown,N/A,225500,225575,F
rrlH ECK0204 JWR0004 ,unknown,N/A,225759,228662,F
rrfH ECK0205 JWR0005 ,unknown,N/A,228756,228875,F
aspU ECK0206 JWR0006 ,unknown,N/A,228928,229004,F
dkgB ECK0207 JW017 yafB ,F,N/A,229167,229970,F
yafC ECK0208 JW018 ,T,Both,230881,229967,R
yafD ECK020 JW5017 ,unknown,N/A,231122,231922,F
yafE ECK0210 JW0200 ,F,N/A,231926,232549,F
mltD dniR ECK0211 JW5018 yafG ,T,Activator,233955,232597,R
gloB ECK0212 JW0202 yafR ,F,N/A,234782,234027,R
yafS ECK0213 JW0203 ,unknown,N/A,234816,235538,F
rnhA cer dasF ECK0214 herA JW0204 rnh,F,N/A,236002,235535,R
dnaQ ECK0215 JW0205 mutD ,F,N/A,236067,236798,F
aspV ECK0216 JWR0007 ,unknown,N/A,236931,237007,F
yafT ECK0217 JW0206 ,F,N/A,237335,238120,F
ykfM ECK437 ,unknown,N/A,238736,238257,R
yafU ECK0218 JW0207 ,unknown,N/A,239102,238746,R
yafF ECK021 JW0208 ,unknown,N/A,239106,239378,F
yafV ECK0220 JW501 ,F,N/A,240189,239419,R
ivy ECK0221 JW0210 ykfE ,unknown,N/A,240343,240816,F
fadE ECK0222 fadF JW5020 yafH ,F,N/A,243303,240859,R
gmhA ECK0223 isn JW0212 lpcA tfrA yafI ,F,N/A,243543,244121,F
yafJ ECK0224 JW0213 ,F,N/A,244327,245094,F
yafK ECK0225 JW0214 ,unknown,N/A,245805,245065,R
yafQ ECK0226 JW0215 ,unknown,N/A,246239,245961,R
dinJ ECK0227 JW0216 sosA ,unknown,N/A,246502,246242,R
yafL ECK0228 JW0217 ,unknown,N/A,246712,247461,F
